Column1,Source,Model,Loss Type,Final Loss,STFT hop_length,STFT window_length,Model activation,Model bidirectional,Model dropout,Model hidden_size,Model num_audio_channels,Model num_layers,Model num_sources,Optimizer lr,Epochs,Epoch Length,Train Coherent Fraction,Batch Size,Test Size,Test Length,SI-SDR,SI-SIR,SI-SAR,SD-SDR,SNR,SRR,SI-SDRi,SD-SDRi,SNRi,MIX-SI-SDR,MIX-SD-SDR,MIX-SNR,STFT window_type,Model in_channels,Model init_features,Model logscale,Model out_channels,Model hop_length,Model num_features,Model num_filters,Model window_type
0,vocals,Mask,L1,0.000422947,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-4.45585482,4.209634802,-3.317161465,-10.01767758,1.012083005,-7.091687865,4.90292691,-0.6584363,10.48310332,-9.35878173,-9.359241279,-9.471020317,,,,,,,,,
2,vocals,Mask,L1,0.000396054,128,512,sigmoid,TRUE,0.3,50,1,1,1,0.001,25,25,1,10,50,5,-4.344339735,4.482007959,-3.261026335,-10.85657146,1.09113748,-8.396188689,5.014441995,-1.497330179,10.5621578,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
4,vocals,Mask,L1,0.000423557,128,512,sigmoid,TRUE,0.3,50,1,3,1,0.001,25,25,1,10,50,5,-4.594010839,4.105060165,-3.376285683,-10.28925757,0.970910492,-7.411517396,4.764770891,-0.930016289,10.44193081,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
6,vocals,Mask,L1,0.000494049,128,512,sigmoid,TRUE,0.3,50,1,5,1,0.001,25,25,1,10,50,5,-4.787651374,2.784193728,-3.381448081,-12.01523024,0.863831035,-9.543993041,4.571130356,-2.655988963,10.33485135,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
8,vocals,Mask,L1,0.00040684,128,512,sigmoid,TRUE,0.1,50,1,2,1,0.001,25,25,1,10,50,5,-4.472856713,3.442747376,-3.09702954,-9.978089965,0.954451457,-6.995760978,4.885925017,-0.618848686,10.42547177,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
10,vocals,Mask,L1,0.000425114,128,512,sigmoid,TRUE,0.5,50,1,2,1,0.001,25,25,1,10,50,5,-3.987443159,3.975972829,-2.68185868,-9.499844383,1.083497201,-6.576768758,5.371338571,-0.140603104,10.55451752,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
12,vocals,Mask,L1,0.000423686,128,512,sigmoid,TRUE,0.7,50,1,2,1,0.001,25,25,1,10,50,5,-4.532565901,3.943680195,-3.307281197,-10.42601995,0.954540145,-7.605850071,4.82621583,-1.066778674,10.42556046,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
14,vocals,Mask,L1,0.000390159,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.01,25,25,1,10,50,5,-4.040527424,4.644434807,-3.094106957,-9.543677961,1.171499482,-6.586386333,5.318254306,-0.184436682,10.6425198,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
16,vocals,Mask,L1,0.000513214,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.0001,25,25,1,10,50,5,-3.96760038,1.468459099,-2.257674706,-13.81579812,0.684669831,-12.49901064,5.391181351,-4.456556836,10.15569015,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
18,vocals,Mask,L1,0.000425542,128,512,sigmoid,TRUE,0.5,50,1,3,1,0.001,25,25,1,10,50,5,-4.764747987,3.682436771,-3.488818368,-10.85182571,0.865129601,-8.066451541,4.594033743,-1.492584426,10.33614992,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
20,vocals,Mask,L1,0.000464123,128,512,sigmoid,TRUE,0.3,25,1,2,1,0.001,25,25,1,10,50,5,-4.572100115,3.35066401,-3.387936201,-11.63634529,1.033992148,-9.413700236,4.786681615,-2.277104007,10.50501246,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
22,vocals,Mask,L1,0.000391464,128,512,sigmoid,TRUE,0.3,100,1,2,1,0.001,25,25,1,10,50,5,-4.88491215,3.747828611,-3.772567755,-10.82061024,0.964793683,-7.714550873,4.47386958,-1.46136896,10.435814,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
24,vocals,Mask,L1,0.000430038,64,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-4.798985206,3.75020048,-3.659777748,-11.46825517,0.898352921,-8.958774056,4.559796524,-2.109013892,10.36937324,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
26,vocals,Mask,L1,0.000392282,256,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-4.509573792,3.503548806,-3.27417853,-10.38105536,1.088298852,-7.519439689,4.849207938,-1.02181408,10.55931917,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
28,vocals,Mask,L1,0.001017981,32,128,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-4.754920439,0.494355013,-2.809005153,-10.07583132,0.907842594,-7.085646603,4.603861291,-0.716590043,10.37886291,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
30,vocals,Mask,L1,0.000208479,128,2048,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,-5.030184457,4.451093937,-4.223200873,-15.5356512,0.758793551,-14.3843177,4.328597273,-6.176409921,10.22981387,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,,,,,,,,
32,vocals,UNet,L1,0.00021545,512,2047,,,,,,,,0.001,25,25,1,10,50,5,-5.235628061,2.004552958,-4.100180381,-24.80077167,0.192335426,-24.41135907,4.123153669,-15.44153039,9.663355743,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,1,16,TRUE,1,,,,
34,vocals,UNet,L1,0.000226882,512,2047,,,,,,,,0.001,25,25,1,10,50,5,-7.688340566,-7.123648851,1.79363425,-23.53267549,-0.111322456,-22.79411329,1.670441164,-14.17343421,9.359697861,-9.35878173,-9.359241279,-9.471020317,sqrt_hann,1,8,TRUE,1,,,,
36,vocals,Filterbank,L2,0.002508228,,,sigmoid,TRUE,0.3,50,1,2,1,0.01,25,25,1,10,50,5,-14.9696903,-8.399789266,-13.82077051,-25.42043746,-0.683653359,-24.16805556,-5.610908574,-16.06119618,8.787366957,-9.35878173,-9.359241279,-9.471020317,,,,,,32,128,128,sqrt_hann
38,vocals,Filterbank,L2,0.004825746,,,sigmoid,TRUE,0.3,50,1,2,1,0.001,15,25,1,10,50,5,-13.10154889,-1.075503622,-12.6426908,-15.93090723,-2.615511257,-10.88699829,-3.742767163,-6.571665946,6.855509059,-9.35878173,-9.359241279,-9.471020317,,,,,,32,128,128,sqrt_hann
40,vocals,Filterbank,L2,0.002511476,,,sigmoid,TRUE,0.3,50,1,2,1,0.005,15,25,1,10,50,5,-10.12959759,-2.951524658,-9.054969959,-17.29232581,-0.53530376,-15.27642615,-0.770815862,-7.933084528,8.935716556,-9.35878173,-9.359241279,-9.471020317,,,,,,32,128,128,sqrt_hann
42,vocals,Filterbank,L2,0.002588118,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,-9.54281009,-1.790184432,-8.537069912,-15.97315227,-0.446765418,-13.73667503,-0.18402836,-6.613910987,9.024254899,-9.35878173,-9.359241279,-9.471020317,,,,,,32,128,128,sqrt_hann
44,vocals,Filterbank,L2,0.002437911,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,-15.62535531,-9.999801292,-14.16518173,-27.67318496,-0.694788736,-26.56902586,-6.266573577,-18.31394368,8.77623158,-9.35878173,-9.359241279,-9.471020317,,,,,,32,16,16,sqrt_hann
46,vocals,Filterbank,L2,0.003427217,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,-17.20386604,-10.11746443,-15.89996374,-23.11798002,-1.84400119,-20.44107807,-7.845084309,-13.75873874,7.627019127,-9.35878173,-9.359241279,-9.471020317,,,,,,32,32,32,sqrt_hann
1,bass+drums+other,Mask,L1,0.000422947,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,10.14192875,12.57739534,16.35134748,9.650831363,10.48310332,23.84378132,0.675528551,0.184890715,1.012083005,9.466400197,9.465940648,9.471020317,,,,,,,,,
3,bass+drums+other,Mask,L1,0.000396054,128,512,sigmoid,TRUE,0.3,50,1,1,1,0.001,25,25,1,10,50,5,10.24190021,12.28106467,17.41478685,9.819241731,10.5621578,25.09709614,0.775500015,0.353301082,1.09113748,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
5,bass+drums+other,Mask,L1,0.000423557,128,512,sigmoid,TRUE,0.3,50,1,3,1,0.001,25,25,1,10,50,5,10.09245477,12.50394955,16.53912073,9.626148846,10.44193081,24.06230065,0.626054577,0.160208198,0.970910492,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
7,bass+drums+other,Mask,L1,0.000494049,128,512,sigmoid,TRUE,0.3,50,1,5,1,0.001,25,25,1,10,50,5,10.07868346,12.02538148,18.17873621,9.544954047,10.33485135,24.39533776,0.612283264,0.079013399,0.863831035,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
9,bass+drums+other,Mask,L1,0.00040684,128,512,sigmoid,TRUE,0.1,50,1,2,1,0.001,25,25,1,10,50,5,10.11157523,12.56392784,16.46670659,9.585646164,10.42547177,23.02808954,0.645175034,0.119705515,0.954451457,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
11,bass+drums+other,Mask,L1,0.000425114,128,512,sigmoid,TRUE,0.5,50,1,2,1,0.001,25,25,1,10,50,5,10.22310373,12.63409359,16.53613239,9.71814669,10.55451752,23.17783036,0.756703535,0.252206041,1.083497201,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
13,bass+drums+other,Mask,L1,0.000423686,128,512,sigmoid,TRUE,0.7,50,1,2,1,0.001,25,25,1,10,50,5,10.09168167,12.45858172,16.76007164,9.641332882,10.42556046,23.9940085,0.625281478,0.175392234,0.954540145,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
15,bass+drums+other,Mask,L1,0.000390159,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.01,25,25,1,10,50,5,10.31734104,12.82293544,16.31087944,9.861308435,10.6425198,24.01920195,0.850940841,0.395367787,1.171499482,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
17,bass+drums+other,Mask,L1,0.000513214,128,512,sigmoid,TRUE,0.3,50,1,2,1,0.0001,25,25,1,10,50,5,9.884370564,10.87341305,21.12398096,9.565857548,10.15569015,24.82793327,0.417970366,0.0999169,0.684669831,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
19,bass+drums+other,Mask,L1,0.000425542,128,512,sigmoid,TRUE,0.5,50,1,3,1,0.001,25,25,1,10,50,5,10.04585807,12.34766388,16.93247775,9.56947041,10.33614992,24.12279066,0.579457877,0.103529762,0.865129601,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
21,bass+drums+other,Mask,L1,0.000464123,128,512,sigmoid,TRUE,0.3,25,1,2,1,0.001,25,25,1,10,50,5,10.17554874,11.98056351,18.00406543,9.755656342,10.50501246,24.6958176,0.709148539,0.289715694,1.033992148,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
23,bass+drums+other,Mask,L1,0.000391464,128,512,sigmoid,TRUE,0.3,100,1,2,1,0.001,25,25,1,10,50,5,10.1294273,12.72460603,16.66283372,9.61479124,10.435814,24.18118287,0.663027105,0.148850592,0.964793683,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
25,bass+drums+other,Mask,L1,0.000430038,64,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,10.03426175,12.14908635,17.45161543,9.643138005,10.36937324,24.90422325,0.567861553,0.177197356,0.898352921,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
27,bass+drums+other,Mask,L1,0.000392282,256,512,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,10.19933647,12.55617564,16.80405846,9.697181631,10.55931917,23.53020197,0.732936269,0.231240982,1.088298852,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
29,bass+drums+other,Mask,L1,0.001017981,32,128,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,9.989298257,12.22003909,16.5068895,9.240063336,10.37886291,19.74303421,0.52289806,-0.225877313,0.907842594,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
31,bass+drums+other,Mask,L1,0.000208479,128,2048,sigmoid,TRUE,0.3,50,1,2,1,0.001,25,25,1,10,50,5,9.995774383,10.94758111,21.1098863,9.797435975,10.22981387,29.9203045,0.529374185,0.331495327,0.758793551,9.466400197,9.465940648,9.471020317,sqrt_hann,,,,,,,,
33,bass+drums+other,UNet,L1,0.00021545,512,2047,,,,,,,,0.001,25,25,1,10,50,5,9.580365699,9.901089878,30.21557614,9.514984845,9.663355743,37.20470616,0.113965502,0.049044196,0.192335426,9.466400197,9.465940648,9.471020317,sqrt_hann,1,16,TRUE,1,,,,
35,bass+drums+other,UNet,L1,0.000226882,512,2047,,,,,,,,0.001,25,25,1,10,50,5,9.386297689,9.621044374,34.219474,8.893164265,9.359697861,25.24793536,-0.080102508,-0.572776383,-0.111322456,9.466400197,9.465940648,9.471020317,sqrt_hann,1,8,TRUE,1,,,,
37,bass+drums+other,Filterbank,L2,0.002508228,,,sigmoid,TRUE,0.3,50,1,2,1,0.01,25,25,1,10,50,5,8.515365396,9.565875137,19.92242501,8.322758066,8.787366957,25.29644991,-0.951034801,-1.143182582,-0.683653359,9.466400197,9.465940648,9.471020317,,,,,,32,128,128,sqrt_hann
39,bass+drums+other,Filterbank,L2,0.004825746,,,sigmoid,TRUE,0.3,50,1,2,1,0.001,15,25,1,10,50,5,6.254885809,11.04222981,9.304873123,6.016656699,6.855509059,20.84446724,-3.211514388,-3.44928395,-2.615511257,9.466400197,9.465940648,9.471020317,,,,,,32,128,128,sqrt_hann
41,bass+drums+other,Filterbank,L2,0.002511476,,,sigmoid,TRUE,0.3,50,1,2,1,0.005,15,25,1,10,50,5,8.551748173,10.27967372,16.51462896,8.277273116,8.935716556,22.5826156,-0.914652024,-1.188667532,-0.53530376,9.466400197,9.465940648,9.471020317,,,,,,32,128,128,sqrt_hann
43,bass+drums+other,Filterbank,L2,0.002588118,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,8.632119021,10.55735569,15.77157417,8.33549182,9.024254899,22.48561254,-0.834281176,-1.130448828,-0.446765418,9.466400197,9.465940648,9.471020317,,,,,,32,128,128,sqrt_hann
45,bass+drums+other,Filterbank,L2,0.002437911,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,8.532890537,9.442978078,21.85519191,8.347188673,8.77623158,25.96620861,-0.93350966,-1.118751975,-0.694788736,9.466400197,9.465940648,9.471020317,,,,,,32,16,16,sqrt_hann
47,bass+drums+other,Filterbank,L2,0.003427217,,,sigmoid,TRUE,0.5,50,1,3,1,0.005,15,25,1,10,50,5,7.16595329,9.42896033,13.98822741,6.770211122,7.627019127,19.73582882,-2.300446907,-2.695729526,-1.84400119,9.466400197,9.465940648,9.471020317,,,,,,32,32,32,sqrt_hann
